target_ROI,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
lh_superiorfrontal_smooth3mm,2.5478689670562744,2.999718427658081,2.492516279220581,2.9692158699035645,3.4870026111602783,3.1754095554351807,2.8053719997406006,2.7727668285369873,1.9229487180709839,3.421250104904175,2.179799795150757,3.188997507095337,3.7400031089782715,3.4158029556274414,3.1538732051849365,2.9333386421203613,2.936952829360962,2.417614698410034,4.000821590423584,3.647625684738159,4.156420707702637,3.1528191566467285,2.9104976654052734,3.805549383163452
lh_vim,5.387800216674805,5.491896152496338,4.806068420410156,4.726722240447998,7.577033519744873,5.578685283660889,5.4772467613220215,3.635627269744873,3.993604898452759,6.247215270996094,3.943164825439453,6.329813480377197,6.853456974029541,5.052770137786865,4.94057035446167,5.65034818649292,4.928232669830322,3.9646031856536865,7.823157787322998,7.33043098449707,7.002330780029297,6.195491790771484,5.798430442810059,5.88822603225708
lh_zi,4.69863748550415,5.037013053894043,3.5285699367523193,4.056968688964844,4.787765979766846,3.8392302989959717,4.497335910797119,2.9771769046783447,3.1188302040100098,5.154086589813232,3.367344856262207,4.785667419433594,5.22697114944458,4.3802571296691895,3.95534348487854,4.248983383178711,3.8831422328948975,3.2693095207214355,5.672237873077393,5.099440097808838,5.547946929931641,4.557467460632324,4.727518558502197,4.968125343322754
rh_Ca,5.0838541984558105,6.477437496185303,4.2722249031066895,4.008110046386719,9.006514549255371,7.6485466957092285,7.400074481964111,4.413497447967529,4.402723789215088,8.24383544921875,4.140982151031494,7.430196285247803,7.612593650817871,6.298823356628418,7.187463760375977,7.841351509094238,7.2250285148620605,4.382991790771484,9.647538185119629,8.479238510131836,7.115427017211914,4.784725189208984,6.182401657104492,6.939887523651123
rh_GPe,4.658584117889404,7.264648914337158,4.46610164642334,3.7463245391845703,8.86031723022461,6.402493000030518,7.101335525512695,3.9648263454437256,4.342702865600586,8.465947151184082,4.690887451171875,7.258347034454346,7.4019246101379395,5.805213928222656,6.875365734100342,7.102447509765625,6.601198673248291,3.9155900478363037,8.964691162109375,8.02787971496582,6.623396873474121,4.890359401702881,6.703242301940918,6.793025016784668
rh_GPi,4.659265041351318,6.28062629699707,4.009477138519287,3.6439926624298096,7.676657199859619,5.766505718231201,5.715202331542969,4.594497203826904,3.3450653553009033,7.277026176452637,4.117560386657715,6.247625827789307,6.936175346374512,5.264123916625977,5.236382961273193,5.281106948852539,5.10410737991333,3.6876163482666016,7.281759262084961,5.942699432373047,6.270716190338135,4.725940227508545,5.856753349304199,5.630103588104248
rh_Pu,4.508831977844238,6.161026477813721,4.116576194763184,3.1200313568115234,7.668000221252441,6.030400276184082,5.3247222900390625,3.7429187297821045,3.451605796813965,7.309698104858398,3.5672607421875,6.1368021965026855,6.388658046722412,5.3406219482421875,5.618252754211426,5.529788494110107,5.410303592681885,3.6800246238708496,7.435018062591553,6.1158766746521,6.054016590118408,4.612452507019043,5.747251987457275,5.7983198165893555
rh_STH,3.79602313041687,5.5553059577941895,3.1187939643859863,3.171375274658203,5.077429294586182,5.0875935554504395,4.4949750900268555,3.4655375480651855,3.001269578933716,5.807149410247803,3.219419002532959,5.353689670562744,5.453451156616211,4.927560329437256,4.361826419830322,4.485882759094238,4.875049591064453,3.255162239074707,5.672112941741943,4.916787624359131,5.396694660186768,3.506840705871582,4.028604507446289,4.584397315979004
rh_cerebellum_dentate,4.170172214508057,4.957962989807129,3.3085901737213135,2.2086567878723145,6.505538463592529,4.878952980041504,4.977330684661865,3.474275588989258,2.998842239379883,5.656463146209717,2.6274209022521973,4.971670150756836,5.413192272186279,4.255608081817627,4.361656188964844,4.845546245574951,4.02077579498291,2.705476760864258,5.7310919761657715,5.206500053405762,4.8505730628967285,3.5315279960632324,4.563540935516357,4.259374618530273
rh_cerebellum_motor,4.25565767288208,5.786463737487793,3.508272647857666,2.7841010093688965,7.248086452484131,5.916022300720215,5.5506181716918945,4.090145111083984,3.1091458797454834,6.561217784881592,3.001624345779419,6.271655082702637,6.266645908355713,4.921947002410889,5.1537699699401855,5.493952751159668,5.193019866943359,3.6579384803771973,6.885986804962158,6.197074890136719,5.728850841522217,3.9945082664489746,5.17874813079834,5.262771129608154
rh_paracentral_smooth3mm,3.745850086212158,5.2347822189331055,3.281684160232544,2.7246642112731934,7.067550182342529,5.858457565307617,4.990994930267334,3.5788893699645996,3.6539440155029297,6.238057613372803,3.1390349864959717,5.326939105987549,5.330517768859863,4.380979537963867,5.243685722351074,5.605620861053467,5.038023471832275,3.4157958030700684,6.112293243408203,5.891767978668213,5.306163311004639,3.3779489994049072,4.492547512054443,4.6810479164123535
rh_postcentral_smooth3mm,2.197979211807251,2.838165044784546,2.0766899585723877,1.7820448875427246,3.532290458679199,3.1149961948394775,2.7595300674438477,2.2465415000915527,2.098710536956787,3.492105722427368,1.6215280294418335,2.9477968215942383,2.9246435165405273,2.448183059692383,3.037321090698242,2.7739830017089844,3.405153751373291,1.8951269388198853,3.52982759475708,3.4789364337921143,2.7333998680114746,1.9393397569656372,2.448408603668213,2.580106496810913
rh_precentral_smooth3mm,3.4435253143310547,4.013885498046875,2.722585678100586,2.783108711242676,3.9371378421783447,3.7583255767822266,3.438612222671509,2.5893759727478027,2.9319682121276855,4.181724548339844,2.9334518909454346,3.3870561122894287,3.883875608444214,3.752420425415039,3.2560312747955322,3.194584608078003,2.638155937194824,2.9143497943878174,3.906888961791992,3.4095733165740967,4.091814994812012,3.2936952114105225,3.595768928527832,3.6268959045410156
rh_superiorfrontal_smooth3mm,3.361177682876587,4.599555969238281,3.0506081581115723,2.577326774597168,6.048894882202148,4.677228927612305,4.387085437774658,2.7191905975341797,3.2520275115966797,5.410396099090576,3.3604702949523926,4.707221984863281,4.667145729064941,4.443880081176758,5.002228260040283,5.094460964202881,4.207536220550537,3.2530157566070557,5.772598743438721,5.280545234680176,4.707494258880615,3.206967830657959,4.30864953994751,4.368936538696289
