,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M40,0.007744771,0.0033250325,0.018795362,0.007332907,0.022197833,0.04109947,0.012305746,0.014272749,0.0075226296,0.02488424,0.038110618,0.0065352065,0.018806683,0.02689786,0.015252075,0.008577753,0.016182134,0.031542342,0.0037280712,0.0062701628,0.017033225,0.04157663,0.010279415,0.024196593
M90,0.017305695,0.020256365,0.040610336,0.019835133,0.02705224,0.009513247,0.012520489,0.029689498,0.032144103,0.015249119,0.027561381,0.056675363,0.018165397,0.042782366,0.058737412,0.027908338,0.03924569,0.027500598,0.02825515,0.019297825,0.016179854,0.015634328,0.027690796,0.03035139
M5,0.04089767,0.091906756,0.03033801,0.017552482,0.031248746,0.017141957,0.036426436,0.018806234,0.03770917,0.012640153,0.022555096,0.041409165,0.029136747,0.029012075,0.027281187,0.014612631,0.03536841,0.072267435,0.05275923,0.011098156,0.030497154,0.042786397,0.023080727,0.02595697
M17,0.026038023,0.02970685,0.017552335,0.023628008,0.030793192,0.0255526,0.007138551,0.035350367,0.024170116,0.009505392,0.0075200563,0.007672432,0.0052986327,0.007798874,0.011766912,0.006381751,0.021470034,0.022376344,0.018419845,0.014853199,0.012358521,0.0226965,0.043565497,0.01414845
M11,0.029173095,0.05544229,0.0042456677,0.078644305,0.022339823,0.028058834,0.0070217173,0.014425805,0.032063063,0.053028904,0.019456321,0.025857607,0.027571335,0.025802057,0.04459604,0.026048189,0.040064935,0.012985028,0.0144547345,0.020697206,0.048641272,0.00662544,0.023753747,0.04730085
M36,0.021259679,0.021033447,0.033134405,0.015423063,0.011201173,0.012387409,0.028544426,0.010304019,0.033960722,0.033309862,0.032466922,0.009309853,0.027154239,0.0449419,0.047481608,0.018499104,0.03105384,0.038120963,0.013234776,0.05066259,0.02994725,0.032305844,0.039538246,0.029786043
M47,0.04108937,0.0063653276,0.013152863,0.01975025,0.017186537,0.023396986,0.032406166,0.0106641175,0.013846338,0.020289073,0.01483622,0.022587715,0.012012847,0.031221116,0.022275928,0.025050817,0.0363988,0.0046091992,0.028898893,0.01953846,0.034213033,0.02855078,0.018199753,0.033010233
M33,0.06940155,0.030584786,0.02217311,0.07625402,0.04223678,0.049931157,0.0486109,0.039786316,0.021295277,0.024407748,0.0064578163,0.04517563,0.08099946,0.019472204,0.03923611,0.0284636,0.040938597,0.027844258,0.008280113,0.063291386,0.02531881,0.049710877,0.021634482,0.07200785
M13,0.016000893,0.038865272,0.03777867,0.020816544,0.016599331,0.048646443,0.011731516,0.026692491,0.0057843192,0.011181654,0.018497568,0.04425359,0.046472717,0.00515921,0.0076167043,0.014137554,0.029307988,0.020528022,0.015659604,0.02349315,0.014230331,0.011716254,0.050198343,0.01423846
M28,0.038854476,0.026838979,0.030780016,0.04435886,0.020015517,0.007500126,0.030245887,0.047140677,0.019381413,0.058827054,0.05297415,0.07722584,0.046471562,0.030484473,0.03704427,0.030376283,0.063471705,0.037936766,0.014250789,0.019553492,0.022129724,0.020595778,0.04284214,0.03072009
