epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
16,781029.079327,1157801.625000,4552.983427,399702.835337,0.709344,826282.546875,1280888.593750,4858.170166,366817.593750,0.695537,9.38e-04
17,682042.079327,987696.685096,5816.848257,370569.932692,0.694967,968810.703125,1597066.250000,6434.074219,334120.359375,0.692795,9.30e-04
18,687802.372596,1026810.151442,7349.957989,341443.919471,0.697756,999092.687500,1682236.125000,7882.496826,308066.007812,0.713295,9.22e-04
19,692945.945913,1059052.475962,8890.101084,317948.602163,0.714603,1060666.390625,1823940.968750,9460.587402,287930.554688,0.722521,9.14e-04
20,639915.509014,963297.463341,10652.816857,305880.053486,0.708938,653653.671875,1003911.406250,11286.584473,292108.601562,0.699121,9.05e-04
21,588559.649639,875130.830529,12532.314979,289455.447716,0.698668,1086739.437500,1900512.250000,13238.169922,259727.683594,0.692592,8.95e-04
22,568063.572716,852105.577524,14431.857253,269589.021635,0.695814,534553.742188,774092.640625,14483.495605,280530.664062,0.696819,8.85e-04
23,578687.623197,878744.852163,16541.185716,262088.520733,0.694954,785364.734375,1314182.531250,16810.842041,239735.425781,0.695958,8.75e-04
24,517691.834135,772326.398438,18141.907565,244914.670072,0.697236,637054.359375,1027478.937500,18543.762695,228085.300781,0.695630,8.65e-04
25,500429.360276,751717.572115,20288.573505,228851.879207,0.695690,539974.882812,837911.421875,20538.172852,221499.429688,0.699156,8.54e-04
26,498699.175781,753815.280048,22040.861478,221541.521334,0.700119,1402047.500000,2598123.562500,22281.473145,183689.363281,0.699721,8.42e-04
27,601895.546875,970570.615986,23657.145771,209562.640024,0.705896,672378.375000,1121376.734375,23595.950684,199783.398438,0.711128,8.31e-04
28,513992.646935,797154.938702,24780.904522,206048.741887,0.703682,884735.796875,1561463.281250,26431.211914,181576.390625,0.705169,8.19e-04
29,550582.472055,877413.462440,27265.096492,196485.667969,0.699630,826075.703125,1445372.875000,27034.565918,179743.304688,0.692644,8.07e-04
30,481208.116286,749203.184796,28008.281400,185204.076623,0.695273,614622.593750,1025849.031250,28329.805664,175065.679688,0.692667,7.94e-04
31,484377.155349,761951.311899,28958.231821,177844.068209,0.692830,775617.609375,1360663.750000,29210.831543,161359.921875,0.693953,7.81e-04
32,459611.304087,723365.132512,30270.191970,165586.585938,0.695826,392671.328125,586372.804688,29718.304199,169250.847656,0.695079,7.68e-04
33,435823.771334,685243.084736,30616.854041,155786.906550,0.700744,471571.187500,760601.562500,30600.131836,151939.968750,0.706542,7.55e-04
34,419151.855168,660779.596454,31229.910382,146293.483924,0.706122,410939.531250,640807.859375,30877.876465,150192.609375,0.702337,7.41e-04
35,452346.777043,730803.675481,31561.439829,142327.746094,0.696756,744263.390625,1326236.062500,31536.197266,130753.839844,0.697333,7.27e-04
36,400716.300180,636244.525541,31978.863431,133208.519081,0.698610,834832.046875,1515175.625000,31940.985840,122546.748047,0.694167,7.13e-04
37,404096.168870,647276.456731,32800.413612,128114.771635,0.697224,378668.492188,593978.804688,33369.747070,129987.740234,0.694772,6.99e-04
38,388887.794772,618764.542668,33053.426044,125956.920974,0.696142,543592.515625,935805.171875,32033.908203,119345.265625,0.693791,6.84e-04
39,384520.103666,614879.428786,32492.576810,121667.503305,0.699116,756136.625000,1369581.718750,32836.126953,109854.699219,0.702528,6.70e-04
40,363917.993089,580527.074519,32613.099084,114695.112680,0.698764,615533.312500,1092886.781250,31523.567871,106655.537109,0.697410,6.55e-04
41,381694.887019,620939.102464,31710.717060,110739.246394,0.700196,754557.453125,1375644.531250,31357.681152,102112.001953,0.699824,6.40e-04
42,407370.178486,672928.071214,31931.030273,109880.561448,0.696194,599483.937500,1064577.562500,30549.088867,103840.527344,0.692443,6.25e-04
43,365741.077825,593270.707031,31114.117338,107096.638822,0.694083,653896.781250,1177994.156250,30598.786133,99199.900391,0.695283,6.09e-04
44,392121.216647,650279.128305,31201.891414,102760.713642,0.696146,368581.359375,601211.437500,30880.266113,105070.328125,0.691900,5.94e-04
45,332842.681791,532971.880108,30700.838416,102011.953125,0.694491,343376.984375,553529.695312,30923.739746,102299.839844,0.690254,5.79e-04
