target,roi,batch_size,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
zi,rh_Pu,2,6.6849598e-06,0.9780704975128174,False,10,19,neither
zi,rh_STH,2,-0.0002285819,0.9694851311770352,False,12,19,neither
zi,rh_cerebellum_dentate,2,0.00011334255,0.9694851311770352,False,11,19,neither
zi,rh_cerebellum_motor,2,-0.00055863225,0.9694851311770352,False,12,19,neither
zi,rh_paracentral_smooth3mm,2,3.2086613e-05,0.9694851311770352,False,12,19,neither
zi,rh_postcentral_smooth3mm,2,0.00022858431,0.9694851311770352,False,12,19,neither
zi,rh_precentral_smooth3mm,2,3.3667115e-05,0.9694851311770352,False,11,19,neither
zi,rh_superiorfrontal_smooth3mm,2,0.00012233059,0.9694851311770352,False,13,19,neither
vim,lh_Ca,3,-0.0004701928,0.61453644434611,False,14,19,neither
vim,lh_GPe,3,0.00029558488,0.6735483578273228,False,10,19,neither
vim,lh_GPi,3,-0.00044670486,0.6237401366233826,False,14,19,neither
vim,lh_Pu,3,9.380761e-05,0.8443740761798361,False,10,19,neither
vim,lh_STH,3,-0.00015542774,0.8191077834681462,False,11,19,neither
vim,lh_cerebellum_dentate,3,0.000476935,0.6129435896873474,False,12,19,neither
vim,lh_cerebellum_motor,3,-0.00037797148,0.6129435896873474,False,11,19,neither
vim,lh_paracentral_smooth3mm,3,-0.00024761734,0.728850245475769,False,13,19,neither
vim,lh_postcentral_smooth3mm,3,-8.427753e-05,0.8443740761798361,False,10,19,neither
vim,lh_precentral_smooth3mm,3,-0.00040648956,0.6237401366233826,False,12,19,neither
vim,lh_superiorfrontal_smooth3mm,3,-0.00024994145,0.6932503700256347,False,12,19,neither
vim,lh_vim,3,-8.058254e-05,0.8443740761798361,False,10,19,neither
vim,lh_zi,3,-0.00021520353,0.6735483578273228,False,10,19,neither
vim,rh_Ca,3,-0.0002087699,0.8191077834681462,False,13,19,neither
vim,rh_GPe,3,-6.173639e-05,0.8946197628974915,False,10,19,neither
vim,rh_GPi,3,0.00045692697,0.6237401366233826,False,10,19,neither
vim,rh_Pu,3,0.00041511585,0.6129435896873474,False,10,19,neither
vim,rh_STH,3,0.00038512817,0.6129435896873474,False,11,19,neither
vim,rh_cerebellum_dentate,3,-0.00021955646,0.8191077834681462,False,10,19,neither
vim,rh_cerebellum_motor,3,-8.682416e-05,0.8443740761798361,False,10,19,neither
