group_label,target,group_str,roi,n_subjects_group,n_roi,mean_delta,sem,p_value,n_consistent,consistency_threshold,consistent_direction,p_value_fdr,significant_fdr,classification
ZI (1st tx),zi,ZI_first,lh_STH,10,10,0.0009000692982226316,0.0006103344392682263,0.1743899600120834,6,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,lh_cerebellum_dentate,10,10,0.0009117777924984499,0.0005815180629611215,0.15134234410582398,7,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,lh_cerebellum_motor,10,10,0.0006209134124219101,0.0006611854639417041,0.37220156341233196,7,8,False,0.5254610306997628,False,neither
ZI (1st tx),zi,ZI_first,lh_paracentral_smooth3mm,10,10,0.0008166233077645201,0.000473117646754028,0.11841729108874242,6,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,lh_postcentral_smooth3mm,10,10,0.0011134446598589267,0.0007628954568508249,0.17843192702959654,7,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,lh_precentral_smooth3mm,10,10,0.0011319604702293598,0.0006531651661256107,0.11712500876733359,8,8,True,0.3501541240005478,False,consistency_threshold
ZI (1st tx),zi,ZI_first,lh_superiorfrontal_smooth3mm,10,10,0.0008892662823199902,0.0006120056837793615,0.18017310108976298,8,8,True,0.3501541240005478,False,consistency_threshold
ZI (1st tx),zi,ZI_first,lh_vim,10,10,0.00098396805115043,0.0005947117209475455,0.13240627220333878,7,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,lh_zi,10,10,0.00075064466800539,0.0005290976618779756,0.1896668171669634,7,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,rh_Ca,10,10,0.00124670625664291,0.0005819274648764995,0.06078609824111934,8,8,True,0.3501541240005478,False,consistency_threshold
ZI (1st tx),zi,ZI_first,rh_GPe,10,10,0.00050593391060828,0.00046674097887207914,0.3065603442303726,7,8,False,0.49049655076859616,False,neither
ZI (1st tx),zi,ZI_first,rh_GPi,10,10,0.0004402826540172099,0.0006653235986998914,0.5247062300540941,5,8,False,0.6296474760649129,False,neither
ZI (1st tx),zi,ZI_first,rh_Pu,10,10,0.0004117630422114969,0.0005419708026478612,0.46683701905023545,6,8,False,0.5896888661687184,False,neither
ZI (1st tx),zi,ZI_first,rh_STH,10,10,0.00034227864816786997,0.0006314817799730829,0.6009616655310194,6,8,False,0.6868133320354507,False,neither
ZI (1st tx),zi,ZI_first,rh_cerebellum_dentate,10,10,0.0006383842788636499,0.0005420830522697978,0.2691378353462823,6,8,False,0.46137914630791244,False,neither
ZI (1st tx),zi,ZI_first,rh_cerebellum_motor,10,10,0.0011823218781501,0.0005773337623815139,0.07085404421770683,8,8,True,0.3501541240005478,False,consistency_threshold
ZI (1st tx),zi,ZI_first,rh_paracentral_smooth3mm,10,10,6.523369811476006e-05,0.00048091111692409507,0.895086569288361,6,8,False,0.895086569288361,False,neither
ZI (1st tx),zi,ZI_first,rh_postcentral_smooth3mm,10,10,0.00020326962694527,0.0007128268510475108,0.78197513974117,5,8,False,0.8405596939912483,False,neither
ZI (1st tx),zi,ZI_first,rh_precentral_smooth3mm,10,10,0.0012712816707789898,0.0008069457816680833,0.14961190486953,7,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,rh_superiorfrontal_smooth3mm,10,10,0.00059364773333072,0.0005729692749998074,0.32719540267058994,5,8,False,0.49079310400588494,False,neither
ZI (2nd tx),zi,VIM_first,lh_Ca,5,5,-0.00049319379031658,0.000582338941660563,0.4447374730200092,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_GPe,5,5,0.00013620816171167836,0.0004939101835371449,0.7963815793963867,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_GPi,5,5,0.00037381015717983997,0.0011738742976251056,0.766083756796894,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_Pu,5,5,-0.0008892271667718599,0.0006894180689343786,0.26663272904022856,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_STH,5,5,0.00063608288764952,0.0007836610300562919,0.4625124978183579,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_cerebellum_dentate,5,5,0.0003290163353085296,0.0007348048723472028,0.677506040328141,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_cerebellum_motor,5,5,-0.00037513636052606,0.0006413771738743107,0.5900233453295254,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_paracentral_smooth3mm,5,5,0.00020987149327995994,0.0007604550139548795,0.7962339709690056,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_postcentral_smooth3mm,5,5,-0.00069323210045692,0.00046967306254898063,0.2139867398312441,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_precentral_smooth3mm,5,5,0.00037579834461214,0.00057277962006129,0.5475860640700828,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_superiorfrontal_smooth3mm,5,5,0.00038668196648357995,0.00041677823910047024,0.4060325527804979,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_vim,5,5,0.00017770137637851256,0.000563955887588493,0.7684406831013998,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,lh_zi,5,5,0.00059443647041916,0.0007590347537391648,0.4773115477537998,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,rh_Ca,5,5,0.00012814942747354005,0.0007342972002311697,0.8699340643982985,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,rh_GPe,5,5,0.00018551126122474002,0.00036997904626827224,0.6424214440697417,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,rh_GPi,5,5,-0.0004257854074239201,0.0010857973903117847,0.7149512145962522,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,rh_Pu,5,5,-0.0005198962986469,0.0007275875914363757,0.5143732286647028,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,rh_STH,5,5,-0.0011874858289956402,0.0002851086499605684,0.014087712580884986,5,4,True,0.33810510194123966,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,rh_cerebellum_dentate,5,5,-0.00024423003196716005,0.0006172406422172175,0.7125374129810698,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,rh_cerebellum_motor,5,5,-0.00073898294940586,0.00033879514095277915,0.09461658831662671,4,4,True,0.9077572845895289,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,rh_paracentral_smooth3mm,5,5,-5.1380600780240964e-05,0.0004676161226050942,0.9177983194152055,3,4,False,0.9177983194152054,False,neither
ZI (2nd tx),zi,VIM_first,rh_postcentral_smooth3mm,5,5,0.00054997308179734,0.0008032217065513313,0.5311420621749652,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,rh_precentral_smooth3mm,5,5,0.00022667832672593983,0.0010101867384181005,0.8334480099180821,3,4,False,0.9077572845895289,False,neither
ZI (2nd tx),zi,VIM_first,rh_superiorfrontal_smooth3mm,5,5,0.00027660708874464,0.0006720215758857839,0.7017289460391511,3,4,False,0.9077572845895289,False,neither
