target,seed_type,seed_value,roi,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
zi,TRAIN_SEED,123,rh_paracentral_smooth3mm,0.00026328387,0.4704954922199249,False,12,19,neither
zi,TRAIN_SEED,123,rh_postcentral_smooth3mm,-0.00034529492,0.5349291392735073,False,14,19,neither
zi,TRAIN_SEED,123,rh_precentral_smooth3mm,8.9582594e-05,0.7774716667507006,False,12,19,neither
zi,TRAIN_SEED,123,rh_superiorfrontal_smooth3mm,0.0008756653,0.0207593962550163,True,14,19,fdr_significant
vim,TRAIN_SEED,2024,lh_Ca,-2.1034362e-05,0.9844602346420288,False,14,19,neither
vim,TRAIN_SEED,2024,lh_GPe,-0.00032713273,0.3472765311598778,False,13,19,neither
vim,TRAIN_SEED,2024,lh_GPi,0.0001129259,0.9844602346420288,False,11,19,neither
vim,TRAIN_SEED,2024,lh_Pu,-0.0001491853,0.9238323211669922,False,12,19,neither
vim,TRAIN_SEED,2024,lh_STH,2.6267806e-05,0.9844602346420288,False,10,19,neither
vim,TRAIN_SEED,2024,lh_cerebellum_dentate,0.00026825973,0.8862828254699706,False,10,19,neither
vim,TRAIN_SEED,2024,lh_cerebellum_motor,3.141292e-05,0.9844602346420288,False,11,19,neither
vim,TRAIN_SEED,2024,lh_paracentral_smooth3mm,1.7663464e-05,0.9844602346420288,False,13,19,neither
vim,TRAIN_SEED,2024,lh_postcentral_smooth3mm,-0.0002525757,0.8862828254699706,False,10,19,neither
vim,TRAIN_SEED,2024,lh_precentral_smooth3mm,0.00014260304,0.9238323211669922,False,10,19,neither
vim,TRAIN_SEED,2024,lh_superiorfrontal_smooth3mm,0.00038687894,0.8549169301986694,False,11,19,neither
vim,TRAIN_SEED,2024,lh_vim,7.283286e-06,0.9844602346420288,False,13,19,neither
vim,TRAIN_SEED,2024,lh_zi,-2.4330557e-06,0.9844602346420288,False,10,19,neither
vim,TRAIN_SEED,2024,rh_Ca,-0.00027387805,0.8862828254699706,False,10,19,neither
vim,TRAIN_SEED,2024,rh_GPe,0.00070480024,0.7367551922798157,False,11,19,neither
vim,TRAIN_SEED,2024,rh_GPi,0.00030090366,0.8862828254699706,False,10,19,neither
vim,TRAIN_SEED,2024,rh_Pu,-9.4707735e-05,0.9677973389625548,False,13,19,neither
vim,TRAIN_SEED,2024,rh_STH,0.00057017745,0.3472765311598778,False,14,19,neither
vim,TRAIN_SEED,2024,rh_cerebellum_dentate,-1.2862496e-05,0.9844602346420288,False,10,19,neither
vim,TRAIN_SEED,2024,rh_cerebellum_motor,0.00047076083,0.8862828254699706,False,13,19,neither
vim,TRAIN_SEED,2024,rh_paracentral_smooth3mm,-0.00012113286,0.9238323211669922,False,11,19,neither
vim,TRAIN_SEED,2024,rh_postcentral_smooth3mm,0.00013940035,0.8862828254699706,False,11,19,neither
vim,TRAIN_SEED,2024,rh_precentral_smooth3mm,-0.00012037638,0.9238323211669922,False,10,19,neither
vim,TRAIN_SEED,2024,rh_superiorfrontal_smooth3mm,0.00017664491,0.9238323211669922,False,11,19,neither
zi,TRAIN_SEED,2024,lh_Ca,8.71016e-05,0.9691418409347534,False,13,19,neither
zi,TRAIN_SEED,2024,lh_GPe,0.00044359596,0.9691418409347534,False,13,19,neither
zi,TRAIN_SEED,2024,lh_GPi,3.792316e-05,0.9691418409347534,False,14,19,neither
zi,TRAIN_SEED,2024,lh_Pu,-7.883634e-06,0.9691418409347534,False,16,19,consistency_threshold
zi,TRAIN_SEED,2024,lh_STH,0.00049539714,0.9691418409347534,False,12,19,neither
zi,TRAIN_SEED,2024,lh_cerebellum_dentate,0.00013399027,0.9691418409347534,False,12,19,neither
zi,TRAIN_SEED,2024,lh_cerebellum_motor,5.1255265e-05,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,lh_paracentral_smooth3mm,-0.00022287936,0.9691418409347534,False,11,19,neither
zi,TRAIN_SEED,2024,lh_postcentral_smooth3mm,-0.00016834831,0.9691418409347534,False,11,19,neither
zi,TRAIN_SEED,2024,lh_precentral_smooth3mm,-0.00019962066,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,lh_superiorfrontal_smooth3mm,0.00021447672,0.9691418409347534,False,12,19,neither
zi,TRAIN_SEED,2024,lh_vim,-0.00012943163,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,lh_zi,-0.000117779025,0.9691418409347534,False,11,19,neither
zi,TRAIN_SEED,2024,rh_Ca,-0.00016184543,0.9691418409347534,False,12,19,neither
zi,TRAIN_SEED,2024,rh_GPe,-8.542757e-05,0.9691418409347534,False,12,19,neither
zi,TRAIN_SEED,2024,rh_GPi,-7.476756e-05,0.9691418409347534,False,11,19,neither
zi,TRAIN_SEED,2024,rh_Pu,0.00014545585,0.9691418409347534,False,12,19,neither
zi,TRAIN_SEED,2024,rh_STH,-0.00024544212,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,rh_cerebellum_dentate,0.00058935926,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,rh_cerebellum_motor,5.431826e-05,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,rh_paracentral_smooth3mm,-1.3853766e-05,0.9691418409347534,False,13,19,neither
zi,TRAIN_SEED,2024,rh_postcentral_smooth3mm,-0.00013780518,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,rh_precentral_smooth3mm,-0.00023166825,0.9691418409347534,False,10,19,neither
zi,TRAIN_SEED,2024,rh_superiorfrontal_smooth3mm,1.5741765e-05,0.9691418409347534,False,11,19,neither
vim,SPLIT_SEED,42,lh_Ca,0.0006077464,0.2364690133503505,False,13,19,neither
vim,SPLIT_SEED,42,lh_GPe,0.00060066464,0.2706001509319652,False,12,19,neither
vim,SPLIT_SEED,42,lh_GPi,-0.00051389495,0.3378406487978422,False,16,19,consistency_threshold
vim,SPLIT_SEED,42,lh_Pu,4.2074e-05,0.9119680446127186,False,12,19,neither
vim,SPLIT_SEED,42,lh_STH,-4.1323812e-05,0.9119680446127186,False,12,19,neither
vim,SPLIT_SEED,42,lh_cerebellum_dentate,0.0005754352,0.1688895151019096,False,13,19,neither
vim,SPLIT_SEED,42,lh_cerebellum_motor,-0.00014838587,0.7149524688720703,False,11,19,neither
vim,SPLIT_SEED,42,lh_paracentral_smooth3mm,-0.00042041362,0.3378406487978422,False,13,19,neither
vim,SPLIT_SEED,42,lh_postcentral_smooth3mm,-0.00016348143,0.4825766086578369,False,12,19,neither
vim,SPLIT_SEED,42,lh_precentral_smooth3mm,-0.0001731914,0.7149524688720703,False,12,19,neither
vim,SPLIT_SEED,42,lh_superiorfrontal_smooth3mm,-0.00035818387,0.2706001509319652,False,13,19,neither
vim,SPLIT_SEED,42,lh_vim,4.810634e-05,0.9119680446127186,False,12,19,neither
vim,SPLIT_SEED,42,lh_zi,-0.00049871404,0.1485368348658085,False,14,19,neither
